saray,num
1.3-2.2万/月,2
30-50万/年,2
1.8-3.6万/月,2
1-2.2万/月,2
3.5-5千/月,2
0.6-2.5万/月,2
6-7千/月,2
10-30万/年,2
12-16万/年,2
3-5万/月,2
3-8千/月,2
1.8-3万/月,2
1.6-2万/月,2
0.8-2.5万/月,2
0.9-2.5万/月,2
2.3-3万/月,2
1.4-1.6万/月,2
1.3-1.5万/月,2
5-8万/年,2
1.2-3万/月,2
2-4.5万/月,2
1.5-1.7万/月,2
0.9-1.8万/月,2
3-5千/月,2
0.8-1.7万/月,2
1.5-2.8万/月,2
1.5-3.5万/月,2
1-1.1万/月,2
1.6-2.2万/月,2
0.7-2万/月,2
1.6-2.5万/月,2
2.2-3万/月,2
4-7千/月,2
2.8-4万/月,1
8-12万/年,1
25-40万/年,1
25-35万/年,1
20-35万/年,1
28-40万/年,1
4-8万/月,1
3-6千/月,1
4.5-9万/月,1
6-25万/年,1
6-10万/年,1
6-8万/年,1
50-80万/年,1
50-60万/年,1
5.5-9千/月,1
6.3-9千/月,1
5.5-6.5千/月,1
5.2-7.5千/月,1
7-10万/年,1
5-6千/月,1
40-60万/年,1
4.5-8千/月,1
3-7千/月,1
4-9千/月,1
4-6万/月,1
4-6.5千/月,1
8-11万/年,1
4-4.5万/月,1
35-70万/年,1
30-40万/年,1
3.5-8千/月,1
3.5-6千/月,1
3.5-5.5千/月,1
3.3-4.5万/月,1
3-9千/月,1
0.3-1万/月,1
1.7-2.2万/月,1
2.5-3.2万/月,1
1.4-2.2万/月,1
1.3-1.7万/月,1
1.3-2.1万/月,1
1.3-2.3万/月,1
1.3-2.4万/月,1
1.4-1.7万/月,1
1.4-2.1万/月,1
1.4-2.3万/月,1
1.2-1.4万/月,1
1.4-2.4万/月,1
1.4-4万/月,1
1.5-1.6万/月,1
1.5-2.1万/月,1
1.5-2.4万/月,1
1.6-2.4万/月,1
1.3-1.4万/月,1
1.1-2.5万/月,1
2.4-4万/月,1
0.8-3万/月,1
0.4-1.4万/月,1
0.5-2万/月,1
0.6-1.6万/月,1
0.6-3万/月,1
0.7-1.6万/月,1
0.7-2.5万/月,1
0.9-1.1万/月,1
1.1-2.1万/月,1
0.9-1.7万/月,1
0.9-1万/月,1
1-1.9万/月,1
1-3.5万/月,1
1.1-1.4万/月,1
1.1-1.7万/月,1
1.6-2.8万/月,1
1.6-3.2万/月,1
1.6-3.5万/月,1
16-40万/年,1
12-30万/年,1
12-35万/年,1
13-18万/年,1
14-20万/年,1
14-28万/年,1
16-25万/年,1
18-20万/年,1
1.7-1.9万/月,1
18-22万/年,1
2-2.6万/月,1
2-5万/月,1
2.2-2.8万/月,1
2.2-2.9万/月,1
2.4-3.3万/月,1
12-25万/年,1
12-23万/年,1
12-20万/年,1
11-15万/年,1
10-25万/年,1
10-12万/年,1
10-11万/年,1
1.9-3万/月,1
1.9-2.5万/月,1
1.8-3.3万/月,1
1.8-3.2万/月,1
1.8-2.7万/月,1
1.8-2.4万/月,1
1.8-2.3万/月,1
1.7-2万/月,1
1.7-2.5万/月,1
0.4-1.3万/月,1
